SKU;Vendor code;Name;Brand;Category;Price old;Price;Price unit;Available;Added;Updated;Url;Image url;Vendor code
3888420;;Кеды Sk8-Hi;Vans;Кеды;9699;9699;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/kedy-vans-va32qg9gf/;https://street-beat.ru/upload/iblock/21f/21f1fd9e56b4d8606820f3e3792db36d.jpg;;
559373;;574 Classic ;New Balance;Кроссовки;18999;18999;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/krossovki-new-balance-ml574egn-d/;https://street-beat.ru/upload/iblock/669/6691895b27afa73abb7db5253e3bf348.jpg;;
3465907;;Кроссовки adidas Originals Forum Low ;adidas Originals;Кроссовки;11999;11999;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/krossovki-adidas-originals-fy7755/;https://street-beat.ru/upload/iblock/1b8/1b8b5ed217b95ec2527de33827050902.JPG;;
3861222;;Мужские кроссовки Waffle One Next Nature;Nike;Кроссовки;12599;12599;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/krossovki-nike-dc8890-200/;https://street-beat.ru/upload/iblock/45d/45db1e7402278abeeb78316a5ca4a231.jpg;;
3876908;;Кеды Authentic;Vans;Кеды;7499;7499;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/kedy-vans-va5hzs9ge/;https://street-beat.ru/upload/iblock/888/8887946c56d3f294e19c272e0282ebd6.jpg;;
3877066;;Кеды Comfycush Authentic;Vans;Кеды;8199;8199;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/kedy-vans-va3wm7vne/;https://street-beat.ru/upload/iblock/2c0/2c0e328f00c4f07d469c15348b85fb7d.jpg;;
3877068;;Кеды Comfycush Era;Vans;Кеды;8199;8199;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/kedy-vans-va3wm9vnd/;https://street-beat.ru/upload/iblock/1fe/1feea3d85537009ad6f402cf83f6ee7b.jpg;;
3877070;;Кеды Comfycush Slip-On;Vans;Кеды;8199;8199;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/kedy-vans-va3wmdvnd/;https://street-beat.ru/upload/iblock/930/930ddcc2f355b8ba3a425ce61cb4821d.jpg;;
3877072;;Кеды Comfycush Slip-On;Vans;Кеды;8199;8199;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/kedy-vans-va3wmdvng/;https://street-beat.ru/upload/iblock/34d/34d091c4ae073180827bae5560ea1c74.jpg;;
3877176;;Кеды Classic Slip-On;Vans;Кеды;8199;8199;шт.;Y;2022-04-19;2022-04-19;https://street-beat.ru/d/kedy-vans-v0018eblk/;https://street-beat.ru/upload/iblock/a2c/a2c06bfba41705091886b2fa49f5aedd.jpg;;
